task,context,task_id,env,complexity,original_filename,output
"Создай функцию ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект), которая заполняет табличную часть документа «Заказ» «Товары» остатками из регистра «ТоварныеЗапасы» для склада и даты, заданных в документе. Отбирать только товары видом товара = Товар. Для каждой позиции остатка нужно добавить строку в табличную часть и перенести туда товар и количество.","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_001,server,low,,"// Процедура выполняет заполнение табличной части ""Товары"" 
// остатками из регистра ""ТоварныеЗапасы"" на дату документа и по выбранному складу.
Процедура ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект) Экспорт
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТоварныеЗапасыОстатки.Товар КАК Товар,
	|	ТоварныеЗапасыОстатки.КоличествоОстаток КАК Количество
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(
	|		&Период,
	|		Склад = &Склад
	|			И Товар.ВидТовара = &ВидТовара) КАК ТоварныеЗапасыОстатки
	|ГДЕ
	|	ТоварныеЗапасыОстатки.КоличествоОстаток > 0"";
	
	// Устанавливаем параметры запроса из реквизитов документа
	Запрос.УстановитьПараметр(""Период"", ДокументОбъект.Дата);
	Запрос.УстановитьПараметр(""Склад"", ДокументОбъект.Склад);
	
	// Предполагается, что вид товара хранится в перечислении. 
	// При необходимости имя перечисления (ВидыТоваров / ВидыНоменклатуры) нужно скорректировать под вашу конфигурацию
	Запрос.УстановитьПараметр(""ВидТовара"", Перечисления.ВидыТоваров.Товар);
	
	РезультатЗапроса = Запрос.Выполнить();
	Выборка = РезультатЗапроса.Выбрать();
	
	// Очищаем табличную часть перед заполнением
	ДокументОбъект.Товары.Очистить();
	
	// Заполняем табличную часть результатами запроса
	Пока Выборка.Следующий() Цикл
		НоваяСтрока = ДокументОбъект.Товары.Добавить();
		// Используем ЗаполнитьЗначенияСвойств, так как синонимы в запросе совпадают с именами колонок ТЧ
		ЗаполнитьЗначенияСвойств(НоваяСтрока, Выборка);
	КонецЦикла;
	
КонецПроцедуры"
"Создай функцию ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата) которая выводит в табличный документ задолженность по контрагентам из регистра Взаиморасчеты на дату. В макете есть секции Шапка и Строка, в секции строка есть параметры “Контрагент” и “Задолженность”","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_002,server,mid,,"Функция ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата)
	
	// Очищаем табличный документ перед заполнением
	ТабДокумент.Очистить();
	
	// Получаем области макета
	ОбластьШапка = Макет.ПолучитьОбласть(""Шапка"");
	ОбластьСтрока = Макет.ПолучитьОбласть(""Строка"");
	
	// Выводим шапку в табличный документ
	ТабДокумент.Вывести(ОбластьШапка);
	
	// Создаем запрос к виртуальной таблице остатков регистра
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ВзаиморасчетыОстатки.Контрагент КАК Контрагент,
	|	ВзаиморасчетыОстатки.СуммаОстаток КАК Задолженность
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты.Остатки(&Период, ) КАК ВзаиморасчетыОстатки"";
	
	// Устанавливаем параметр периода. 
	// Виртуальная таблица остатков автоматически отфильтрует нулевые остатки.
	Запрос.УстановитьПараметр(""Период"", Дата);
	
	// Выполняем запрос и получаем выборку
	Выборка = Запрос.Выполнить().Выбрать();
	
	// Обходим результат запроса
	Пока Выборка.Следующий() Цикл
		
		// Метод Заполнить автоматически сопоставит поля выборки (Контрагент, Задолженность) 
		// с одноименными параметрами в области макета
		ОбластьСтрока.Параметры.Заполнить(Выборка);
		
		// Выводим заполненную строку
		ТабДокумент.Вывести(ОбластьСтрока);
		
	КонецЦикла;
	
	// Возвращаем заполненный табличный документ
	Возврат ТабДокумент;
	
КонецФункции"
Создай функцию УстановитьСклад(ДокументОбъект) которая устанавливает во всех строках ТЧ «Товары» значение поля «СкладСтроки» равным реквизиту документа «Склад».,"{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_003,server,low,,"Процедура УстановитьСклад(ДокументОбъект) Экспорт
	
	// Получаем значение склада из реквизита документа один раз до цикла 
	// для оптимальной работы кода
	СкладДокумента = ДокументОбъект.Склад;
	
	// Обходим все строки табличной части ""Товары"" и устанавливаем склад
	Для Каждого СтрокаТовары Из ДокументОбъект.Товары Цикл
		СтрокаТовары.СкладСтроки = СкладДокумента;
	КонецЦикла;
	
КонецПроцедуры"
Создай функцию УдалитьПоследнююЗапись(Валюта) которая удаляет последнюю по времени запись регистра сведений КурсыВалют с измерением Валюта = Валюта,"{
  ""InformationRegisters"": [
    {
      ""id"": ""КурсыВалют"",
      ""name"": ""Курсы валют"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Курс"",
          ""name"": ""Курс"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_004,server,low,,"Функция УдалитьПоследнююЗапись(Валюта) Экспорт
	
	// Получаем период последней записи по выбранной валюте с помощью виртуальной таблицы СрезПоследних
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	КурсыВалютСрезПоследних.Период КАК Период
	|ИЗ
	|	РегистрСведений.КурсыВалют.СрезПоследних(, Валюта = &Валюта) КАК КурсыВалютСрезПоследних"";
	
	Запрос.УстановитьПараметр(""Валюта"", Валюта);
	
	РезультатЗапроса = Запрос.Выполнить();
	
	// Если записей по данной валюте нет, прерываем выполнение
	Если РезультатЗапроса.Пустой() Тогда
		Возврат Ложь;
	КонецЕсли;
	
	Выборка = РезультатЗапроса.Выбрать();
	Выборка.Следующий();
	
	// Создаем менеджер записи для независимого регистра сведений
	МенеджерЗаписи = РегистрыСведений.КурсыВалют.СоздатьМенеджерЗаписи();
	
	// Устанавливаем ключевые поля для однозначной идентификации записи
	МенеджерЗаписи.Период = Выборка.Период;
	МенеджерЗаписи.Валюта = Валюта;
	
	// Выполняем удаление записи
	МенеджерЗаписи.Удалить();
	
	Возврат Истина;
	
КонецФункции"
Создай функцию НеУстановленыЦены(Поставщик) которая возвращает СписокЗначений с элементами справочника Товары у которых Поставщик = Поставщик и нет записи в регистре сведений ЦеныТоваров,"{
  ""InformationRegisters"": [
    {
      ""id"": ""ЦеныТоваров"",
      ""name"": ""Цены товаров"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""ВидЦен"",
          ""name"": ""Вид цен"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.ВидыЦен""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Цена"",
          ""name"": ""Цена"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_005,server,low,,"Функция НеУстановленыЦены(Поставщик) Экспорт
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	Товары.Ссылка КАК Товар
	|ИЗ
	|	Справочник.Товары КАК Товары
	|		ЛЕВОЕ СОЕДИНЕНИЕ РегистрСведений.ЦеныТоваров КАК ЦеныТоваров
	|		ПО Товары.Ссылка = ЦеныТоваров.Товар
	|ГДЕ
	|	Товары.Поставщик = &Поставщик
	|	И ЦеныТоваров.Товар ЕСТЬ NULL"";
	
	Запрос.УстановитьПараметр(""Поставщик"", Поставщик);
	
	СписокТоваров = Новый СписокЗначений;
	
	// Выполняем запрос, выгружаем результат в массив и загружаем в список значений
	МассивРезультата = Запрос.Выполнить().ВыгрузитьКолонку(""Товар"");
	СписокТоваров.ЗагрузитьЗначения(МассивРезультата);
	
	Возврат СписокТоваров;
	
КонецФункции"
"Создай функцию ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson), которая получает остаки товаров склада на текущую дату из регистра ТоварныеЗапасы у которых остаток больше или равен значению МинимальныйОстаток. Записать файл в json формате как список с полями ""Товар_Код"", ""Товар_Наименование"", ""Остаток"" (число, округленное до целого). Строки списка должны быть упорядочены по возрастанию поля Товар_Код","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_006,server,mid,,"Функция ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson) Экспорт
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТоварныеЗапасыОстатки.Товар.Код КАК Товар_Код,
	|	ТоварныеЗапасыОстатки.Товар.Наименование КАК Товар_Наименование,
	|	ТоварныеЗапасыОстатки.КоличествоОстаток КАК Остаток
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(, Склад = &Склад) КАК ТоварныеЗапасыОстатки
	|ГДЕ
	|	ТоварныеЗапасыОстатки.КоличествоОстаток >= &МинимальныйОстаток
	|
	|УПОРЯДОЧИТЬ ПО
	|	Товар_Код ВОЗР"";
	
	Запрос.УстановитьПараметр(""Склад"", Склад);
	Запрос.УстановитьПараметр(""МинимальныйОстаток"", МинимальныйОстаток);
	
	РезультатЗапроса = Запрос.Выполнить();
	Выборка = РезультатЗапроса.Выбрать();
	
	МассивОстатков = Новый Массив;
	
	Пока Выборка.Следующий() Цикл
		
		ДанныеТовара = Новый Структура;
		ДанныеТовара.Вставить(""Товар_Код"", Выборка.Товар_Код);
		ДанныеТовара.Вставить(""Товар_Наименование"", Выборка.Товар_Наименование);
		// Округляем остаток до целого числа согласно требованиям
		ДанныеТовара.Вставить(""Остаток"", Окр(Выборка.Остаток, 0));
		
		МассивОстатков.Добавить(ДанныеТовара);
		
	КонецЦикла;
	
	Попытка
		// Настраиваем параметры записи JSON для удобного чтения (опционально, но является хорошей практикой)
		ПараметрыЗаписиJSON = Новый ПараметрыЗаписиJSON(ПереносСтрокJSON.Авто, ""  "", Истина, ЭкранированиеСимволовJSON.СимволыВнеASCII);
		
		ЗаписьJSON = Новый ЗаписьJSON;
		ЗаписьJSON.ОткрытьФайл(ФайлJson, , , ПараметрыЗаписиJSON);
		
		// Сериализуем массив структур в JSON
		ЗаписатьJSON(ЗаписьJSON, МассивОстатков);
		
		ЗаписьJSON.Закрыть();
		
		Возврат Истина;
	Исключение
		// В случае ошибки при записи файла (например, нет прав на директорию)
		ЗаписьЖурналаРегистрации(""ВыгрузкаОстатков"", УровеньЖурналаРегистрации.Ошибка, , , ОписаниеОшибки());
		Возврат Ложь;
	КонецПопытки;

КонецФункции"
"создай функцию ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование), которая получает на вход параметр типа ТаблицаЗначений
в которой есть колонки ""Склад"", ""Товар"" типа справочник Товары, ""Количество"". Нужно вернуть ТаблицуЗначений, в которую войдут только те строки из входной таблицы, 
у которых значение в колонке ""Склад"" равно параметру Склад, а значение в колонке ""Товар.Наименование"" содержит подстроку параметра ""Наименование"".",,task_007,server,low,,"Функция ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТаблицаВходящая.Склад КАК Склад,
	|	ТаблицаВходящая.Товар КАК Товар,
	|	ТаблицаВходящая.Количество КАК Количество
	|ПОМЕСТИТЬ ВТ_ИсходнаяТаблица
	|ИЗ
	|	&Таблица КАК ТаблицаВходящая
	|;
	|
	|////////////////////////////////////////////////////////////////////////////////
	|ВЫБРАТЬ
	|	ВТ_ИсходнаяТаблица.Склад КАК Склад,
	|	ВТ_ИсходнаяТаблица.Товар КАК Товар,
	|	ВТ_ИсходнаяТаблица.Количество КАК Количество
	|ИЗ
	|	ВТ_ИсходнаяТаблица КАК ВТ_ИсходнаяТаблица
	|ГДЕ
	|	ВТ_ИсходнаяТаблица.Склад = &Склад
	|	И ВТ_ИсходнаяТаблица.Товар.Наименование ПОДОБНО &Наименование"";
	
	// Важно: колонки входящей таблицы значений должны быть типизированы, 
	// иначе запрос выдаст ошибку при помещении во временную таблицу.
	Запрос.УстановитьПараметр(""Таблица"", Таблица);
	Запрос.УстановитьПараметр(""Склад"", Склад);
	
	// Оборачиваем параметр Наименование в символы ""%"" для поиска подстроки
	Запрос.УстановитьПараметр(""Наименование"", ""%"" + Наименование + ""%"");
	
	// Выгружаем результат запроса в новую таблицу значений и возвращаем ее
	Возврат Запрос.Выполнить().Выгрузить();
	
КонецФункции"
"Создай функцию УшедшийТовар(Дата1, Дата2), которая возвращает таблицу значений с товаром, который был на складе (любом) на Дата1, но отсутствует на складе на Дата2. 
Использовать остатки регистра ""ТоварныеЗапасы"".
В таблице должны быть колонки: ""Товар"" (ссылка на справочник Товары), ""Количество"" (количество товара на Дата1).","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_008,server,mid,,"Функция УшедшийТовар(Дата1, Дата2) Экспорт
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ОстаткиДата1.Товар КАК Товар,
	|	ОстаткиДата1.КоличествоОстаток КАК Количество
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата1, ) КАК ОстаткиДата1
	|		ЛЕВОЕ СОЕДИНЕНИЕ РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата2, ) КАК ОстаткиДата2
	|		ПО ОстаткиДата1.Товар = ОстаткиДата2.Товар
	|ГДЕ
	|	ОстаткиДата2.Товар ЕСТЬ NULL
	|	И ОстаткиДата1.КоличествоОстаток > 0"";
	
	Запрос.УстановитьПараметр(""Дата1"", Дата1);
	Запрос.УстановитьПараметр(""Дата2"", Дата2);
	
	Возврат Запрос.Выполнить().Выгрузить();
	
КонецФункции"
"создай функцию ПросроченныеДолги(Дата, МинДолг, СрокДолга), которая возвращает таблицу значений с контрагентами, 
у которых на заданную дату есть долг больше МинДолг, и этот долг, или его часть, образовался более СрокДолга дней назад. Задолженность смотреть в регистре накопления Взаиморасчеты.
В таблице должны быть колонки: Контрагент, ДолгВсего, ДолгПросроченный, ДатаОбразованияДолга.","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_009,server,high,,"Функция ПросроченныеДолги(Дата, МинДолг, СрокДолга)
	
	// Подготавливаем таблицу результата с нужной структурой
	ТаблицаРезультат = Новый ТаблицаЗначений;
	ТаблицаРезультат.Колонки.Добавить(""Контрагент"", Новый ОписаниеТипов(""СправочникСсылка.Контрагенты""));
	ТаблицаРезультат.Колонки.Добавить(""ДолгВсего"", Новый ОписаниеТипов(""Число"", Новый КвалификаторыЧисла(15, 2)));
	ТаблицаРезультат.Колонки.Добавить(""ДолгПросроченный"", Новый ОписаниеТипов(""Число"", Новый КвалификаторыЧисла(15, 2)));
	ТаблицаРезультат.Колонки.Добавить(""ДатаОбразованияДолга"", Новый ОписаниеТипов(""Дата""));
	
	Запрос = Новый Запрос;
	Запрос.УстановитьПараметр(""Дата"", Дата);
	Запрос.УстановитьПараметр(""МинДолг"", МинДолг);
	
	// Получаем остатки и левым соединением цепляем все приходы для расчета ФИФО
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ВзаиморасчетыОстатки.Контрагент КАК Контрагент,
	|	ВзаиморасчетыОстатки.СуммаОстаток КАК ДолгВсего
	|ПОМЕСТИТЬ ВТОстатки
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты.Остатки(&Дата, ) КАК ВзаиморасчетыОстатки
	|ГДЕ
	|	ВзаиморасчетыОстатки.СуммаОстаток > &МинДолг
	|;
	|
	|////////////////////////////////////////////////////////////////////////////////
	|ВЫБРАТЬ
	|	ВТОстатки.Контрагент КАК Контрагент,
	|	ВТОстатки.ДолгВсего КАК ДолгВсего,
	|	ЕСТЬNULL(Взаиморасчеты.Период, ДАТАВРЕМЯ(1, 1, 1)) КАК Период,
	|	ЕСТЬNULL(Взаиморасчеты.Сумма, 0) КАК СуммаПриход
	|ИЗ
	|	ВТОстатки КАК ВТОстатки
	|		ЛЕВОЕ СОЕДИНЕНИЕ РегистрНакопления.Взаиморасчеты КАК Взаиморасчеты
	|		ПО ВТОстатки.Контрагент = Взаиморасчеты.Контрагент
	|			И Взаиморасчеты.Период <= &Дата
	|			И Взаиморасчеты.ВидДвижения = ЗНАЧЕНИЕ(ВидДвиженияНакопления.Приход)
	|
	|УПОРЯДОЧИТЬ ПО
	|	Контрагент,
	|	Период УБЫВ
	|ИТОГИ
	|	МАКСИМУМ(ДолгВсего)
	|ПО
	|	Контрагент"";
	
	РезультатЗапроса = Запрос.Выполнить();
	ВыборкаКонтрагент = РезультатЗапроса.Выбрать(ОбходРезультатаЗапроса.ПоГруппировкам);
	
	// Вычисляем пограничную дату, старше которой долг считается просроченным (СрокДолга в днях)
	ДатаПросрочки = Дата - (СрокДолга * 86400); 
	
	Пока ВыборкаКонтрагент.Следующий() Цикл
		
		ОстатокДолга = ВыборкаКонтрагент.ДолгВсего;
		ДолгПросроченный = 0;
		ДатаОбразования = ПустаяДата;
		
		ВыборкаДетали = ВыборкаКонтрагент.Выбрать();
		
		// Раскручиваем долг в обратном порядке (ФИФО)
		Пока ВыборкаДетали.Следующий() Цикл
			
			// Если мы дошли до прихода, который был раньше даты просрочки
			Если ВыборкаДетали.Период < ДатаПросрочки Тогда
				// Весь нераспределенный на ""свежие"" приходы остаток является просроченным
				ДолгПросроченный = ОстатокДолга;
				ДатаОбразования = ВыборкаДетали.Период;
				Прервать;
			КонецЕсли;
			
			// Уменьшаем остаток долга на сумму ""свежего"" прихода
			ОстатокДолга = ОстатокДолга - ВыборкаДетали.СуммаПриход;
			
			// Если свежие приходы полностью покрывают текущий долг, значит просрочки нет
			Если ОстатокДолга <= 0 Тогда
				Прервать;
			КонецЕсли;
			
		КонецЦикла;
		
		// Если после анализа обнаружен просроченный долг, добавляем его в результат
		Если ДолгПросроченный > 0 Тогда
			НоваяСтрока = ТаблицаРезультат.Добавить();
			НоваяСтрока.Контрагент = ВыборкаКонтрагент.Контрагент;
			НоваяСтрока.ДолгВсего = ВыборкаКонтрагент.ДолгВсего;
			НоваяСтрока.ДолгПросроченный = ДолгПросроченный;
			НоваяСтрока.ДатаОбразованияДолга = ДатаОбразования;
		КонецЕсли;
		
	КонецЦикла;
	
	Возврат ТаблицаРезультат;
	
КонецФункции"
"создай функцию СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
Параметры:
 - Письмо - СправочникСсылка.ИсходящиеПисьма - элемент справочника, на основании которого
			следует оформить объект системы ИнтернетПочтовоеСообщение для дальнейшей
				отправки с помощью механизмов интернет почты.
- Отправитель - Строка – email отправителя почтового сообщения

Возвращаемое значение:
    Объект ИнтернетПочтовоеСообщение. Содержит почтовое сообщение, готовое к отправке.","{
  ""Catalogs"": [
    {
      ""id"": ""ИсходящиеПисьма"",
      ""name"": ""Исходящие письма"",
      ""Attributes"": [
        {
          ""id"": ""Дата"",
          ""name"": ""Дата"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Получатель"",
          ""name"": ""Получатель"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Содержимое"",
          ""name"": ""Содержимое"",
          ""types"": []
        },
        {
          ""id"": ""Текст"",
          ""name"": ""Текст"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        }
      ],
      ""TabularSections"": [
        {
          ""id"": ""Получатели"",
          ""name"": ""Получатели"",
          ""Attributes"": [
            {
              ""id"": ""ЭлектроннаяПочта"",
              ""name"": ""Электронная почта"",
              ""types"": [
                {
                  ""type"": ""String"",
                  ""StringQualifiers"": ""1000""
                }
              ]
            }
          ]
        }
      ]
    }
  ]
}",task_010,server,mid,,"Функция СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
	
	// Инициализируем новый объект почтового сообщения
	Сообщение = Новый ИнтернетПочтовоеСообщение;
	
	// Устанавливаем адрес отправителя
	Сообщение.Отправитель.Адрес = Отправитель;
	
	// Используем запрос для оптимального получения данных шапки и табличной части
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ИсходящиеПисьма.Наименование КАК Тема,
	|	ИсходящиеПисьма.Текст КАК Текст,
	|	ИсходящиеПисьма.Получатель КАК Получатель
	|ИЗ
	|	Справочник.ИсходящиеПисьма КАК ИсходящиеПисьма
	|ГДЕ
	|	ИсходящиеПисьма.Ссылка = &Письмо
	|;
	|
	|////////////////////////////////////////////////////////////////////////////////
	|ВЫБРАТЬ
	|	ИсходящиеПисьмаПолучатели.ЭлектроннаяПочта КАК ЭлектроннаяПочта
	|ИЗ
	|	Справочник.ИсходящиеПисьма.Получатели КАК ИсходящиеПисьмаПолучатели
	|ГДЕ
	|	ИсходящиеПисьмаПолучатели.Ссылка = &Письмо"";
	
	Запрос.УстановитьПараметр(""Письмо"", Письмо);
	
	Результаты = Запрос.ВыполнитьПакет();
	
	// Обрабатываем данные шапки письма
	ВыборкаШапка = Результаты[0].Выбрать();
	Если ВыборкаШапка.Следующий() Тогда
		
		// В качестве темы используем стандартный реквизит Наименование
		Сообщение.Тема = ВыборкаШапка.Тема;
		
		// Добавляем текст сообщения
		Если ЗначениеЗаполнено(ВыборкаШапка.Текст) Тогда
			Сообщение.Тексты.Добавить(ВыборкаШапка.Текст);
		КонецЕсли;
		
		// Добавляем получателя из шапки, если он указан
		Если ЗначениеЗаполнено(ВыборкаШапка.Получатель) Тогда
			Сообщение.Получатели.Добавить(ВыборкаШапка.Получатель);
		КонецЕсли;
		
	КонецЕсли;
	
	// Обрабатываем данные табличной части с получателями
	ВыборкаПолучатели = Результаты[1].Выбрать();
	Пока ВыборкаПолучатели.Следующий() Цикл
		
		Если ЗначениеЗаполнено(ВыборкаПолучатели.ЭлектроннаяПочта) Тогда
			Сообщение.Получатели.Добавить(ВыборкаПолучатели.ЭлектроннаяПочта);
		КонецЕсли;
		
	КонецЦикл;
	
	Возврат Сообщение;
	
КонецФункции"
