task,context,task_id,env,complexity,original_filename
"Создай функцию ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект), которая заполняет табличную часть документа «Заказ» «Товары» остатками из регистра «ТоварныеЗапасы» для склада и даты, заданных в документе. Отбирать только товары видом товара = Товар. Для каждой позиции остатка нужно добавить строку в табличную часть и перенести туда товар и количество.","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_001,server,low,
"Создай функцию ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата) которая выводит в табличный документ задолженность по контрагентам из регистра Взаиморасчеты на дату. В макете есть секции Шапка и Строка, в секции строка есть параметры “Контрагент” и “Задолженность”","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_002,server,mid,
Создай функцию УстановитьСклад(ДокументОбъект) которая устанавливает во всех строках ТЧ «Товары» значение поля «СкладСтроки» равным реквизиту документа «Склад».,"{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_003,server,low,
Создай функцию УдалитьПоследнююЗапись(Валюта) которая удаляет последнюю по времени запись регистра сведений КурсыВалют с измерением Валюта = Валюта,"{
  ""InformationRegisters"": [
    {
      ""id"": ""КурсыВалют"",
      ""name"": ""Курсы валют"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Курс"",
          ""name"": ""Курс"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_004,server,low,
Создай функцию НеУстановленыЦены(Поставщик) которая возвращает СписокЗначений с элементами справочника Товары у которых Поставщик = Поставщик и нет записи в регистре сведений ЦеныТоваров,"{
  ""InformationRegisters"": [
    {
      ""id"": ""ЦеныТоваров"",
      ""name"": ""Цены товаров"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""ВидЦен"",
          ""name"": ""Вид цен"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.ВидыЦен""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Цена"",
          ""name"": ""Цена"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_005,server,low,
"Создай функцию ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson), которая получает остаки товаров склада на текущую дату из регистра ТоварныеЗапасы у которых остаток больше или равен значению МинимальныйОстаток. Записать файл в json формате как список с полями ""Товар_Код"", ""Товар_Наименование"", ""Остаток"" (число, округленное до целого). Строки списка должны быть упорядочены по возрастанию поля Товар_Код","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_006,server,mid,
"создай функцию ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование), которая получает на вход параметр типа ТаблицаЗначений
в которой есть колонки ""Склад"", ""Товар"" типа справочник Товары, ""Количество"". Нужно вернуть ТаблицуЗначений, в которую войдут только те строки из входной таблицы, 
у которых значение в колонке ""Склад"" равно параметру Склад, а значение в колонке ""Товар.Наименование"" содержит подстроку параметра ""Наименование"".",,task_007,server,low,
"Создай функцию УшедшийТовар(Дата1, Дата2), которая возвращает таблицу значений с товаром, который был на складе (любом) на Дата1, но отсутствует на складе на Дата2. 
Использовать остатки регистра ""ТоварныеЗапасы"".
В таблице должны быть колонки: ""Товар"" (ссылка на справочник Товары), ""Количество"" (количество товара на Дата1).","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_008,server,mid,
"создай функцию ПросроченныеДолги(Дата, МинДолг, СрокДолга), которая возвращает таблицу значений с контрагентами, 
у которых на заданную дату есть долг больше МинДолг, и этот долг, или его часть, образовался более СрокДолга дней назад. Задолженность смотреть в регистре накопления Взаиморасчеты.
В таблице должны быть колонки: Контрагент, ДолгВсего, ДолгПросроченный, ДатаОбразованияДолга.","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_009,server,high,
"создай функцию СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
Параметры:
 - Письмо - СправочникСсылка.ИсходящиеПисьма - элемент справочника, на основании которого
			следует оформить объект системы ИнтернетПочтовоеСообщение для дальнейшей
				отправки с помощью механизмов интернет почты.
- Отправитель - Строка – email отправителя почтового сообщения

Возвращаемое значение:
    Объект ИнтернетПочтовоеСообщение. Содержит почтовое сообщение, готовое к отправке.","{
  ""Catalogs"": [
    {
      ""id"": ""ИсходящиеПисьма"",
      ""name"": ""Исходящие письма"",
      ""Attributes"": [
        {
          ""id"": ""Дата"",
          ""name"": ""Дата"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Получатель"",
          ""name"": ""Получатель"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Содержимое"",
          ""name"": ""Содержимое"",
          ""types"": []
        },
        {
          ""id"": ""Текст"",
          ""name"": ""Текст"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        }
      ],
      ""TabularSections"": [
        {
          ""id"": ""Получатели"",
          ""name"": ""Получатели"",
          ""Attributes"": [
            {
              ""id"": ""ЭлектроннаяПочта"",
              ""name"": ""Электронная почта"",
              ""types"": [
                {
                  ""type"": ""String"",
                  ""StringQualifiers"": ""1000""
                }
              ]
            }
          ]
        }
      ]
    }
  ]
}",task_010,server,mid,
